threshold,accuracy,macro_f1
0.66,0.3594607404286692,0.3233100409353367
0.67,0.3604402548844068,0.3247363063640142
0.68,0.3608194217704987,0.325480808278822
0.69,0.36156722312918005,0.32661520111085207
0.7,0.3624308810363895,0.32789941885611223
0.71,0.3629785665385223,0.3287532854255131
0.72,0.3629364368845121,0.32877614550911943
0.73,0.36282058033598397,0.328811850399648
0.74,0.3625151403444099,0.32863415485102065
0.75,0.36248354310390224,0.3287445806512057
0.76,0.36248354310390224,0.32885795704436804
0.77,0.36227289483385117,0.3287626951044586
0.78,0.3607772921164885,0.3277127573503863
0.79,0.36074569487598085,0.32780161618305237
0.8,0.3606298383274527,0.32778848167435437
0.81,0.3605350466059298,0.32779732393231986
0.82,0.36051398177892463,0.3278802027106785
0.83,0.3605245141924272,0.32797318524601027
0.84,0.3602612038548633,0.32788286850246906
0.85,0.36000842593080207,0.32785196373566977
0.86,0.359608194217705,0.32773024211883284
0.87,0.35923955974511557,0.32754694733737066
0.88,0.35849175838643427,0.32709395979969846
0.89,0.358049397019327,0.32694401359183345
0.9,0.3579440728843014,0.3271840285531182
0.91,0.3581863183948602,0.32780170266530284
0.92,0.35805992943282955,0.32784564094365637
0.93,0.3579335404707989,0.3278451803212166
0.94,0.3578387487492759,0.32783682704324835
0.95,0.35759650323871717,0.32773027753536604
0.96,0.3577018273737427,0.32796527385912194
0.97,0.3577018273737427,0.3281208272910904
0.98,0.3577439570277529,0.3282704029114605
0.99,0.35718573911211754,0.3279063921562643
1.0,0.3568592342935384,0.32774091086776214
1.01,0.35626941913739535,0.3273520633635189
1.02,0.35609036810785194,0.32730296376272405
1.03,0.35584812259729315,0.3271936725995369
1.04,0.35635367844541577,0.3282802812312875
1.05,0.3561535625888672,0.3283634967816167
1.06,0.35629048396440044,0.32886221012914085
1.07,0.35642740533993367,0.3292575376146845
1.08,0.35658539154247193,0.32980879266950397
1.09,0.3560693032808468,0.3299691271059463
1.1,0.35538469640318077,0.32989937167033756
1.11,0.3559323819053136,0.33094087534049876
1.12,0.3566696508504924,0.33211190024962195
1.13,0.3573331929011533,0.3329766852226026
1.14,0.3577544894412555,0.33352520230656135
1.15,0.35824951287587553,0.3341691626104907
1.16,0.3586497445889726,0.3346893799267224
1.17,0.35957659697719735,0.33589261673938625
1.18,0.36047185212491445,0.33705288192684796
1.19,0.36140923692664173,0.33826570053903016
1.2,0.3623571541418716,0.3394900255018754
1.21,0.3633050713571015,0.34071222693556547
1.22,0.36434778029385434,0.3420542067448607
